,session_id,order_id,order_title
121,311,4,طرح سؤال آقاي محمدحسين فرهنگي نماينده تبريز، آذرشهر و اسكو از آقاي منصور غلامي، وزير علوم، تحقيقات و فناوري
122,311,5,طرح سؤال آقاي محمدمهدي زاهدي نماينده كرمان و راور از آقاي منصور غلامي وزير علوم، تحقيقات و فناوري
123,311,6,ناطقان جلسه آقايان: مسعود رضايي، ولي‌الله نانواكناري، محمدمهدي افتخاري، رضا كريمي و محمد بيرانوندي
124,311,7,استرداد (1) فقره سؤال
125,311,8,اعلام وصول (2) فقره سؤال
126,311,9,اعلام ختم جلسه و تاريخ تشكيل جلسه آينده
127,312,1,اعلام رسميت جلسه و قرائت دستور
128,312,2,تلاوت آياتي از قرآن مجيد
129,312,3,ارجاع طرح اقدام متقابل در برابر اعلام سپاه پاسدران انقلاب اسلامي به عنوان «سازمان تروريستي» توسط ايالات متحده آمريكا به كميسيون مربوطه (ثبت 562)
130,312,4,ارجاع طرح اصلاح موادي از قانون انتخابات مجلس شوراي اسلامي به كميسيون مربوطه (ثبت 490)
131,312,5,بحث و بررسي درخصوص اصلاحات كميسيون در مورد لايحه مديريت بحران كشور (جهت تأمين نظر شوراي نگهبان)، (ثبت 90)
132,312,6,قرائت گزارش كميسيون اصل (90) قانون اساسي درخصوص عملكرد سازمان ميراث فرهنگي، صنايع دستي و گردشگري
133,312,7,انتخاب آقاي عباس گودرزي و خانم زهرا ساعي به عنوان اعضاء شوراي عالي ترويج و توسعه فرهنگ ايثار و شهادت
134,312,8,ناطقان جلسه خانم سكينه الماسي و آقايان: ابوالفضل حسن‌بيكي، ولي داداشي، محمد فيضي‌زنگير و نادر قاضي‌پور
135,312,9,تذكرات كتبي نمايندگان به مسئولان اجرايي كشور
136,312,10,تذكرات شفاهي نمايندگان مجلس شوراي اسلامي
137,312,11,اعلام ختم جلسه و تاريخ تشكيل جلسه آينده
138,312,12,ضميمه: الف ـ فهرست مصوبات               ب ـ گزارش كميسيون اصل (90) قانون اساسي درخصوص عملكرد سازمان ميراث فرهنگي، صنايع دستي و گردشگري
139,313,1,اعلام رسميت جلسه و قرائت دستور
140,313,2,تلاوت آياتي از قرآن مجيد
141,313,3,تصويب طرح اصلاح موادي از قانون انتخابات مجلس شوراي اسلامي (ثبت 490)
142,313,4,بحث و بررسي درخصوص طرح اقدام متقابل در برابر اعلام سپاه پاسداران انقلاب اسلامي به عنوان «سازمان تروريستي» توسط ايالات متحده آمريكا (ثبت 562)
143,313,5,قرائت بيانيه نمايندگان مجلس شوراي اسلامي درخصوص انتصاب سردار سرلشكر پاسدار حسين سلامي به فرماندهي كل سپاه پاسداران انقلاب اسلامي
144,313,6,قرائت بيانيه نمايندگان مجلس شوراي اسلامي درخصوص تقدير از برگزاري مسابقات بين‌المللي قرآن كريم
145,313,7,اعلام ختم جلسه و تاريخ تشكيل جلسه آينده
146,314,1,اعلام رسميت جلسه و قرائت دستور
147,314,2,تلاوت آياتي از قرآن مجيد
148,314,3,تصويب طرح اقدام متقابل در برابر اعلام سپاه پاسداران انقلاب اسلامي به‌عنوان «سازمان تروريستي» توسط ايالات متحده آمريكا (ثبت 562)
